playerID,career_w,career_l,career_g,career_gs,career_cg,career_sho,career_sv,career_ipouts,career_h,career_er,career_hr_a,career_bb,career_so,seasons,debut_year,last_year,career_ip,peak_ip,peak_gs,peak_g,peak_sv,peak_so,peak_bb,peak_hr_a,peak_er,peak_h,peak_w,peak_l,peak_war,peak_year,peak_year_display,mean_sp_dedication,total_seasons_in_peak,career_war,role,nameFirst,nameLast,bbrefID,full_name,era_label,norm_era,h9_raw,k9_raw,bb9_raw,hr9_raw,ip_per_year_raw,h9_val,k9_val,bb9_val,hr9_val,sta_val,raw_ovr,ovr,rarity,str_val,ctl_val,mov_val,grt_val
ohlenro01,30,41,209,80,0,0,3,1760,620,314,90.0,222,444,9,2007,2016,586.6666666666666,345.3333333333333,57,66,0,233,111,45.0,148,327,16,22,5.1,2010,2009,0.8125,3,0.6099999999999999,RP,Ross,Ohlendorf,ohlenro01,Ross Ohlendorf,Efficiency Era (2006-2015),Efficiency Era (2006-2015),8.514058679706604,5.8624694376528135,3.005501222493888,1.0727383863080686,115.1111111111111,38.7,37.3,59.5,18.7,54.0,41.64,58.0,Common,37.3,59.5,18.7,38.7
ohmanwi01,12,16,483,0,0,0,3,1059,322,168,42.0,159,336,10,2000,2012,353.0,138.66666666666669,0,198,0,148,76,15.0,55,113,3,3,2.82,2008,2005,0.0,3,3.84,RP,Will,Ohman,ohmanwi01,Will Ohman,Efficiency Era (2006-2015),Efficiency Era (2006-2015),8.02263779527559,7.181102362204724,3.9094488188976375,0.9301181102362205,46.22222222222223,60.7,65.7,19.0,40.1,24.2,41.94,58.1,Common,65.7,19.0,40.1,60.7
ohse01,16,13,232,0,0,0,42,677,204,83,29.0,56,252,4,2016,2019,225.66666666666666,148.0,0,149,22,182,35,13.0,37,107,12,6,7.470000000000001,2018,2016,0.0,3,6.69,RP,Seunghwan,Oh,ohse01,Seunghwan Oh,Modern Era (2016-Pres),Modern Era (2016-Pres),7.652298850574713,7.867816091954023,2.7442528735632186,0.853448275862069,49.333333333333336,69.5,69.0,69.4,57.9,24.9,58.14,72.1,Rare,69.0,69.4,57.9,69.5
ohtansh01,39,20,100,100,1,1,0,1586,388,176,56.0,182,670,6,2018,2025,528.6666666666666,428.33333333333337,74,74,0,542,143,47.0,135,307,34,16,14.14,2022,2022,1.0,3,16.11,SP,Shohei,Ohtani,ohtansh01,Shohei Ohtani,Modern Era (2016-Pres),Modern Era (2016-Pres),7.1029177718832885,9.514058355437664,3.06684350132626,0.959681697612732,142.7777777777778,94.7,102.0,54.7,42.8,65.1,71.86,84.8,Epic,102.0,54.7,42.8,94.7
ojedabo01,115,98,351,291,41,16,1,5653,1833,764,145.0,676,1128,15,1980,1994,1884.3333333333333,607.6666666666666,90,94,0,379,221,47.0,236,569,42,24,11.1,1986,1986,0.9575714036920934,3,24.39,SP,Bob,Ojeda,ojedabo01,Bob Ojeda,Big Hair Era (1977-1993),Big Hair Era (1977-1993),8.44531572430871,5.585224927775485,3.255055716054478,0.7465951300041271,202.55555555555554,44.9,48.5,48.5,57.7,85.7,57.06,71.0,Rare,48.5,48.5,57.7,44.9
okajihi01,17,8,266,0,0,0,6,751,228,86,27.0,88,216,6,2007,2013,250.33333333333334,192.0,0,198,6,176,61,20.0,58,155,12,4,6.66,2010,2007,0.0,3,6.85,RP,Hideki,Okajima,okajihi01,Hideki Okajima,Efficiency Era (2006-2015),Efficiency Era (2006-2015),7.895408163265307,6.846938775510204,3.033163265306123,0.9183673469387755,64.0,66.4,58.5,58.2,41.9,32.0,51.400000000000006,64.2,Uncommon,58.5,58.2,41.9,66.4
okertst01,18,13,340,4,0,0,2,904,230,124,39.0,115,337,8,2016,2025,301.3333333333333,159.0,1,162,1,187,60,18.0,52,101,11,8,3.3,2022,2025,0.004901960784313725,3,3.86,RP,Steven,Okert,okertst01,Steven Okert,Modern Era (2016-Pres),Modern Era (2016-Pres),7.2674094707520895,7.75208913649025,3.286908077994429,0.9526462395543175,53.0,87.1,66.7,44.8,43.8,26.5,53.78,67.2,Uncommon,66.7,44.8,43.8,87.1
oldhare01,39,48,176,92,38,2,12,2563,978,394,35.0,292,267,7,1914,1926,854.3333333333334,340.0,34,68,6,94,116,14.0,149,376,17,16,4.68,1921,1921,0.39376114081996433,3,5.06,RP,Red,Oldham,oldhare01,Red Oldham,Golden Era (1920-1941),Golden Era (1920-1941),9.414814814814815,3.6037037037037036,3.1185185185185182,0.5666666666666667,113.33333333333333,21.8,22.5,51.2,63.9,53.3,42.540000000000006,58.3,Common,22.5,51.2,63.9,21.8
olinst01,16,19,195,1,0,0,48,819,272,94,14.0,90,173,4,1989,1992,273.0,237.0,1,170,47,149,76,13.0,79,237,15,15,4.15,1990,1992,0.006666666666666667,3,4.470000000000001,RP,Steve,Olin,olinst01,Steve Olin,Big Hair Era (1977-1993),Big Hair Era (1977-1993),8.77116704805492,5.585812356979405,3.0297482837528604,0.6796338672768879,79.0,30.5,48.5,58.5,68.7,39.5,49.14,61.4,Uncommon,48.5,58.5,68.7,30.5
olivaom01,77,86,349,229,16,2,4,4775,1678,826,159.0,685,853,12,1990,2001,1591.6666666666667,388.6666666666667,58,69,0,197,172,38.0,177,406,24,20,11.07,1997,1998,0.9009009009009009,3,18.08,SP,Omar,Olivares,olivaom01,Omar Olivares,Steroid Era (1994-2005),Steroid Era (1994-2005),9.095130237825593,4.880520951302378,3.7168742921857296,0.886749716874292,129.55555555555557,20.4,21.7,32.0,51.2,59.8,37.02,56.6,Common,21.7,32.0,51.2,20.4
