playerID,name,pos
holmedu01,Ducky Holmes,LF
elberki01,Kid Elberfeld,SS
loberha01,Hans Lobert,3B
maranra01,Rabbit Maranville,SS
murrare01,Red Murray,RF
paskedo01,Dode Paskert,CF
evansst01,Steve Evans,RF
mitchmi01,Mike Mitchell,RF
hofmaso01,Solly Hofman,CF
parenfr01,Freddy Parent,SS
bodiepi01,Ping Bodie,CF
evansjo01,Joe Evans,LF
herzobu01,Buck Herzog,SS
beckebe01,Beals Becker,RF
jonesfi01,Fielder Jones,CF
wicklal01,Al Wickland,RF
wilsoar01,Art Wilson,C
greenda01,Danny Green,RF
snodgfr01,Fred Snodgrass,CF
mccarja01,Jack McCarthy,LF
huggimi01,Miller Huggins,2B
roberda01,Dave Robertson,RF
smithre02,Red Smith,3B
eastete01,Ted Easterly,C
batesjo02,Johnny Bates,CF
wilsoch01,Owen Wilson,RF
devliar01,Art Devlin,3B
cutshge01,George Cutshaw,2B
gowdyha01,Hank Gowdy,C
milledo03,Doc Miller,RF
myershy01,Hi Myers,CF
lewisdu01,Duffy Lewis,LF
steinha01,Harry Steinfeldt,3B
menosmi01,Mike Menosky,LF
stonege01,George Stone,LF
gandich01,Chick Gandil,1B
shottbu01,Burt Shotton,CF
gainede01,Del Gainer,1B
mageele01,Lee Magee,2B
schalra01,Ray Schalk,C
vioxji01,Jim Viox,2B
walshji01,Jimmy Walsh,3B
beschbo01,Bob Bescher,LF
milledo02,Dots Miller,1B
millewa02,Ward Miller,LF
barreji01,Jimmy Barrett,CF
fosteed02,Eddie Foster,3B
gleaski01,Kid Gleason,2B
wolteha01,Harry Wolter,RF
sweenbi02,Bill Sweeney,2B
oldriru01,Rube Oldring,CF
wingoiv01,Ivey Wingo,C
barbetu01,Turner Barber,LF
laporfr01,Frank LaPorte,2B
lumleha01,Harry Lumley,RF
shawal02,Al Shaw,CF
delahji01,Jim Delahanty,2B
murphed02,Eddie Murphy,RF
stransa01,Sammy Strang,3B
weavebu01,Buck Weaver,SS
doughpa01,Patsy Dougherty,LF
collish01,Shano Collins,RF
leibone01,Nemo Leibold,CF
slaglji01,Jimmy Slagle,LF
clarkto01,Tommy Clarke,C
schreos01,Ossee Schrecongost,C
devorjo01,Josh Devore,LF
jordati01,Tim Jordan,1B
shankho01,Howie Shanks,3B
whittpo01,George Whitted,LF
bushdo01,Donie Bush,SS
gessldo01,Doc Gessler,RF
smithea01,Earl Smith,LF
branski01,Kitty Bransfield,1B
mowremi01,Mike Mowrey,3B
sugdejo01,Joe Sugden,C
wolveha01,Harry Wolverton,3B
gonzami01,Mike Gonzalez,C
hemphch01,Charlie Hemphill,CF
nunamle01,Les Nunamaker,C
graneja01,Jack Graney,LF
lordha01,Harry Lord,3B
stahlja01,Jake Stahl,1B
byrnebo01,Bobby Byrne,3B
johnsdo01,Doc Johnston,1B
turnete01,Terry Turner,SS
smootho01,Homer Smoot,CF
callani01,Jimmy Callahan,LF
jonesda01,Davy Jones,LF
esmonji01,Jimmy Esmond,SS
crossmo01,Monte Cross,SS
daniebe01,Bert Daniels,LF
loudeba01,William Louden,2B
mcintma01,Matty McIntyre,LF
wambsbi01,Bill Wambsganss,2B
mcleala01,Larry McLean,C
lappja01,Jack Lapp,C
englecl01,Clyde Engle,1B
holkewa01,Walter Holke,1B
stovage01,George Stovall,1B
crigelo01,Lou Criger,C
lushbi01,Billy Lush,LF
oakesre01,Rebel Oakes,CF
fultzda01,Dave Fultz,CF
mckecbi01,Bill McKechnie,3B
hinchbi01,Bill Hinchman,RF
marsaar01,Armando Marsans,CF
carribi02,Bill Carrigan,C
brainda01,Dave Brain,3B
dealch01,Charlie Deal,3B
pickeol01,Ollie Pickering,CF
farrejo02,John Farrell,2B
fishebo01,Bob Fisher,SS
bridwal01,Al Bridwell,SS
conrowi01,Wid Conroy,3B
perrige01,George Perring,3B
yerkest02,Steve Yerkes,2B
bayha01,Harry Bay,CF
barryja01,Jack Barry,SS
brownge01,George Browne,RF
demmira01,Ray Demmitt,RF
dobbsjo01,John Dobbs,CF
gibsoge01,George Gibson,C
morgara01,Ray Morgan,2B
rossmcl01,Claude Rossman,1B
donahji02,Jiggs Donahue,1B
hummejo01,John Hummel,2B
paulege01,Gene Paulette,1B
scottev01,Everett Scott,SS
yeagejo01,Joe Yeager,3B
ganzejo01,John Ganzel,1B
paddedi01,Dick Padden,2B
rathmo01,Morrie Rath,2B
vittos01,Ossie Vitt,3B
ellisru01,Rube Ellis,LF
francbi01,Bill Francis,3B
goodwi01,Wilbur Good,RF
isbelfr01,Frank Isbell,1B
moriage02,George Moriarty,3B
barrysh01,John Barry,RF
terryze01,Zeb Terry,SS
ainsmed01,Eddie Ainsmith,C
knabeot01,Otto Knabe,2B
raridbi01,Bill Rariden,C
wagnehe01,Heinie Wagner,SS
barbawa01,Walter Barbare,3B
maisefr01,Fritz Maisel,3B
mcconam01,Amby McConnell,2B
archeji01,Jimmy Archer,C
caseydo01,James Casey,3B
highhu01,Hugh High,LF
nealegr01,Greasy Neale,RF
beckfr02,Fred Beck,1B
clarkni01,Jay Clarke,C
hartzro01,Roy Hartzell,3B
lordbr01,Bris Lord,LF
bowerfr01,Frank Bowerman,C
warnejo01,Jack Warner,C
austiji01,Jimmy Austin,3B
kruegot01,Otto Krueger,3B
walshji02,Jimmy Walsh,RF
dolanco01,Cozy Dolan,RF
killebi01,Bill Killefer,C
moellda01,Danny Moeller,RF
risbesw01,Swede Risberg,SS
youngra01,Ralph Young,2B
abbated01,Ed Abbaticchio,2B
egandi01,Dick Egan,2B
altizda01,Dave Altizer,SS
ferriho01,Hobe Ferris,2B
zeidero01,Rollie Zeider,3B
